Code Tarif ,province,city, district 
DPS21108,Bali,Badung,Petang
DPS20200,Bali,Bangli,Bangli
DPS20201,Bali,Bangli,Kintamani
DPS20202,Bali,Bangli,Susut
DPS20203,Bali,Bangli,Tembuku
DPS20602,Bali,Buleleng,Busungbiu
DPS20608,Bali,Buleleng,Tejakula
DPS20101,Bali,Karangasem,Abang
DPS20103,Bali,Karangasem,Kubu
DPS20503,Bali,Klungkung,Nusa Penida
CLG20202,Banten,Lebak,Bayah
CLG20203,Banten,Lebak,Bojongmanik
CLG20205,Banten,Lebak,Cibeber
CLG20229,Banten,Lebak,Cigemlong
CLG20227,Banten,Lebak,Cihara
CLG20206,Banten,Lebak,Cijaku
CLG20208,Banten,Lebak,Cileles
CLG20225,Banten,Lebak,Cilograng
CLG20210,Banten,Lebak,Cipanas
CLG20228,Banten,Lebak,Cirinten
CLG20221,Banten,Lebak,Curug Bitung
CLG20226,Banten,Lebak,Lebakgedong
CLG20212,Banten,Lebak,Leuwidamar
CLG20213,Banten,Lebak,Maja
CLG20214,Banten,Lebak,Malingping
CLG20215,Banten,Lebak,Muncang
CLG20216,Banten,Lebak,Panggarangan
CLG20217,Banten,Lebak,Sajira
CLG20223,Banten,Lebak,Sobang
CLG20218,Banten,Lebak,Wanasalam
CLG20122,Banten,Pandeglang,Angsana
CLG20123,Banten,Pandeglang,Carita
CLG20106,Banten,Pandeglang,Cibaliung
CLG20124,Banten,Pandeglang,Cibitung
CLG20125,Banten,Pandeglang,Cigeulis
CLG20126,Banten,Pandeglang,Cikedal
CLG20109,Banten,Pandeglang,Cimanggu
CLG20129,Banten,Pandeglang,Cisata
CLG20112,Banten,Pandeglang,Jiput
CLG20139,Banten,Pandeglang,Koroncong
CLG20113,Banten,Pandeglang,Labuan
CLG20143,Banten,Pandeglang,Mekarjaya
CLG20118,Banten,Pandeglang,Pagelaran
CLG20133,Banten,Pandeglang,Panimbang
CLG20134,Banten,Pandeglang,Patia
CLG20148,Banten,Pandeglang,Sobang
CLG20136,Banten,Pandeglang,Sukaresmi
CLG20121,Banten,Pandeglang,Sumur
CLG20510,Banten,Kab. Serang,Jawilan
CLG20512,Banten,Kab. Serang,Kopo
BDO10116,Jawa Barat,Kab. Bandung,Kertasari
BDO21009,Jawa Barat,Bandung Barat,Gununghalu
BDO21014,Jawa Barat,Bandung Barat,Rongga
CBN20417,Jawa Barat,Kab. Cirebon,Karangsembung
CBN20418,Jawa Barat,Kab. Cirebon,Karangwareng
CBN20427,Jawa Barat,Kab. Cirebon,Susukan Lebak
BDO20707,Jawa Barat,Garut,Cibalong
BDO20735,Jawa Barat,Garut,Karangtengah
BDO20740,Jawa Barat,Garut,Mekarmukti
BDO20722,Jawa Barat,Garut,Pamulihan
BDO20728,Jawa Barat,Garut,Talegong
KRW10002,Jawa Barat,Karawang,Cibuaya
KRW10021,Jawa Barat,Karawang,Cilebar
KRW10008,Jawa Barat,Karawang,Pakisjaya
CBN20209,Jawa Barat,Kuningan,Cilebak
CBN20211,Jawa Barat,Kuningan,Ciniru
CBN20238,Jawa Barat,Kuningan,Ciwaru
CBN20215,Jawa Barat,Kuningan,Hantara
CBN20220,Jawa Barat,Kuningan,Karang Kancana
BDO20806,Jawa Barat,Purwakarta,Cibatu
BDO20821,Jawa Barat,Purwakarta,Kiarapedes
BDO20810,Jawa Barat,Purwakarta,Maniis
BDO20814,Jawa Barat,Purwakarta,Pondoksalam
BDO20813,Jawa Barat,Purwakarta,Sukasari
BDO20811,Jawa Barat,Purwakarta,Tegalwaru
BDO21129,Jawa Barat,Subang,Serangpanjang
SMI10006,Jawa Barat,Kab. Sukabumi,Cibitung
SMI10011,Jawa Barat,Kab. Sukabumi,Cidadap
SMI10010,Jawa Barat,Kab. Sukabumi,Cidolog
SMI10013,Jawa Barat,Kab. Sukabumi,Cikidang
SMI10020,Jawa Barat,Kab. Sukabumi,Curugkembar
SMI10024,Jawa Barat,Kab. Sukabumi,Jampangtengah
SMI10025,Jawa Barat,Kab. Sukabumi,Kabandungan
SMI10028,Jawa Barat,Kab. Sukabumi,Kalibunder
SMI10030,Jawa Barat,Kab. Sukabumi,Lengkong
SMI10044,Jawa Barat,Kab. Sukabumi,Tegalbuleud
SRG20310,Jawa Tengah,Blora,Jati
CXP10005,Jawa Tengah,Cilacap,Dayeuhluhur
CXP10013,Jawa Tengah,Cilacap,Majenang
CXP10018,Jawa Tengah,Cilacap,Wanareja
SRG10101,Jawa Tengah,Jepara,Bangsri
SRG10116,Jawa Tengah,Jepara,Donorojo
SRG10104,Jawa Tengah,Jepara,Karimunjawa
SRG10106,Jawa Tengah,Jepara,Keling
SRG10113,Jawa Tengah,Jepara,Kembang
SRG10108,Jawa Tengah,Jepara,Mlonggo
SRG10115,Jawa Tengah,Jepara,Pakis Aji
SRG20901,Jawa Tengah,Pati,Batangan
SRG20902,Jawa Tengah,Pati,Cluwak
SRG20903,Jawa Tengah,Pati,Dukuhseti
SRG20906,Jawa Tengah,Pati,Gunungwungkal
SRG20907,Jawa Tengah,Pati,Jaken
SRG20908,Jawa Tengah,Pati,Jakenan
SRG20910,Jawa Tengah,Pati,Kayen
SRG20912,Jawa Tengah,Pati,Margoyoso
SRG20913,Jawa Tengah,Pati,Pucakwangi
SRG20914,Jawa Tengah,Pati,Sukolilo
SRG20915,Jawa Tengah,Pati,Tambakromo
SRG20916,Jawa Tengah,Pati,Tayu
SRG20920,Jawa Tengah,Pati,Winong
SOC20612,Jawa Tengah,Wonogiri,Karangtengah
SRG20403,Jawa Timur,Bojonegoro,Bubulan
SRG20428,Jawa Timur,Bojonegoro,Gayam
SRG20427,Jawa Timur,Bojonegoro,Gondang
SRG20408,Jawa Timur,Bojonegoro,Kasiman
SRG20424,Jawa Timur,Bojonegoro,Kedewan
SRG20409,Jawa Timur,Bojonegoro,Kedungadem
SRG20411,Jawa Timur,Bojonegoro,Malo
SRG20412,Jawa Timur,Bojonegoro,Margomulyo
SRG20413,Jawa Timur,Bojonegoro,Ngambon
SRG20415,Jawa Timur,Bojonegoro,Ngraho
SRG20416,Jawa Timur,Bojonegoro,Padangan
SRG20417,Jawa Timur,Bojonegoro,Purwosari
SRG20425,Jawa Timur,Bojonegoro,Sekar
SRG20418,Jawa Timur,Bojonegoro,Sugihwaras
SRG20426,Jawa Timur,Bojonegoro,Sukosewu
SRG20420,Jawa Timur,Bojonegoro,Tambakrejo
SRG20421,Jawa Timur,Bojonegoro,Temayang
SUB10112,Jawa Timur,Gresik,Sangkapura
SUB10114,Jawa Timur,Gresik,Tambak
SUB10201,Jawa Timur,Lamongan,Babat
SUB10202,Jawa Timur,Lamongan,Bluluk
SUB10209,Jawa Timur,Lamongan,Kedungpring
SUB10213,Jawa Timur,Lamongan,Modo
SUB10214,Jawa Timur,Lamongan,Ngimbang
SUB10216,Jawa Timur,Lamongan,Pucuk
SUB10220,Jawa Timur,Lamongan,Sugio
SUB10222,Jawa Timur,Lamongan,Sukorame
MDN20302,Jawa Timur,Pacitan,Bandar
MDN20305,Jawa Timur,Pacitan,Nawangan
MDN20420,Jawa Timur,Ponorogo,Pudak
SUB20802,Jawa Timur,Sumenep,Arjasa
SUB20804,Jawa Timur,Sumenep,Batuputih
SUB20810,Jawa Timur,Sumenep,Gayam
SUB20811,Jawa Timur,Sumenep,Giliginting
SUB20826,Jawa Timur,Sumenep,Kangayan
SUB20816,Jawa Timur,Sumenep,Masalembu
SUB20817,Jawa Timur,Sumenep,Nonggunong
SUB20818,Jawa Timur,Sumenep,Pasongsongan
SUB20820,Jawa Timur,Sumenep,Ra'as
SUB20822,Jawa Timur,Sumenep,Sapeken
SUB20824,Jawa Timur,Sumenep,Talango
SUB20901,Jawa Timur,Tuban,Bancar
SUB20902,Jawa Timur,Tuban,Bangilan
SUB20903,Jawa Timur,Tuban,Jatirogo
SUB20905,Jawa Timur,Tuban,Kenduruan
SUB20910,Jawa Timur,Tuban,Parengan
SUB20914,Jawa Timur,Tuban,Senori
SUB20915,Jawa Timur,Tuban,Singgahan
CGK10601,DKI Jakarta,Kepulauan Seribu,Kepulauan Seribu Selatan
PNK20600,Kalimantan Barat,Bengkayang,Bengkayang
PNK20616,Kalimantan Barat,Bengkayang,Capkala
PNK20606,Kalimantan Barat,Bengkayang,Jagoi Babang
PNK20601,Kalimantan Barat,Bengkayang,Ledo
PNK20615,Kalimantan Barat,Bengkayang,Lembah Bawang
PNK20610,Kalimantan Barat,Bengkayang,Lumar
PNK20607,Kalimantan Barat,Bengkayang,Monterado
PNK20602,Kalimantan Barat,Bengkayang,Samalantan
PNK20603,Kalimantan Barat,Bengkayang,Sanggau Ledo
PNK20604,Kalimantan Barat,Bengkayang,Seluas
PNK20614,Kalimantan Barat,Bengkayang,Siding
PNK20613,Kalimantan Barat,Bengkayang,Sungai Betung
PNK20605,Kalimantan Barat,Bengkayang,Sungai Raya
PNK20612,Kalimantan Barat,Bengkayang,Sungai Raya Kepulauan
PNK20608,Kalimantan Barat,Bengkayang,Suti Semarang
PNK20609,Kalimantan Barat,Bengkayang,Teriak
PNK20611,Kalimantan Barat,Bengkayang,Tujuh Belas
PNK20201,Kalimantan Barat,Kapuas Hulu,Badau
PNK20202,Kalimantan Barat,Kapuas Hulu,Batang Lupar
PNK20226,Kalimantan Barat,Kapuas Hulu,Pengkadan
PNK20219,Kalimantan Barat,Kapuas Hulu,Boyan Tanjung
PNK20203,Kalimantan Barat,Kapuas Hulu,Bunut Hilir
PNK20204,Kalimantan Barat,Kapuas Hulu,Bunut Hulu
PNK20205,Kalimantan Barat,Kapuas Hulu,Embaloh Hilir
PNK20206,Kalimantan Barat,Kapuas Hulu,Embaloh Hulu
PNK20208,Kalimantan Barat,Kapuas Hulu,Empanang
PNK20209,Kalimantan Barat,Kapuas Hulu,Hulu Gurung
PNK20207,Kalimantan Barat,Kapuas Hulu,Jongkong
PNK20220,Kalimantan Barat,Kapuas Hulu,Kalis
PNK20210,Kalimantan Barat,Kapuas Hulu,Bika
PNK20222,Kalimantan Barat,Kapuas Hulu,Mentebah
PNK20226,Kalimantan Barat,Kapuas Hulu,Pengkadan
PNK20223,Kalimantan Barat,Kapuas Hulu,Puring Kencana
PNK20200,Kalimantan Barat,Kapuas Hulu,Putussibau Selatan
PNK20200,Kalimantan Barat,Kapuas Hulu,Putussibau Selatan
PNK20225,Kalimantan Barat,Kapuas Hulu,Putussibau Utara
PNK20211,Kalimantan Barat,Kapuas Hulu,Seberuang
PNK20212,Kalimantan Barat,Kapuas Hulu,Selimbau
PNK20213,Kalimantan Barat,Kapuas Hulu,Semitau
PNK20214,Kalimantan Barat,Kapuas Hulu,Silat Hilir
PNK20215,Kalimantan Barat,Kapuas Hulu,Silat Hulu
PNK20224,Kalimantan Barat,Kapuas Hulu,Suhaid
PNK21306,Kalimantan Barat,Kayong Utara,Kepulauan Karimata
PNK21301,Kalimantan Barat,Kayong Utara,Pulau Maya
PNK21304,Kalimantan Barat,Kayong Utara,Seponti
PNK21302,Kalimantan Barat,Kayong Utara,Simpang Hilir
PNK21300,Kalimantan Barat,Kayong Utara,Sukadana
PNK21303,Kalimantan Barat,Kayong Utara,Teluk Batang
PNK10114,Kalimantan Barat,Ketapang,Air Upas
PNK10116,Kalimantan Barat,Ketapang,Hulu Sungai
PNK10101,Kalimantan Barat,Ketapang,Jelai Hulu
PNK10103,Kalimantan Barat,Ketapang,Manis Mata
PNK10104,Kalimantan Barat,Ketapang,Marau
PNK10119,Kalimantan Barat,Ketapang,Matan Hilir Utara
PNK10105,Kalimantan Barat,Ketapang,Nanga Tayap
PNK10121,Kalimantan Barat,Ketapang,Pemahan
PNK10107,Kalimantan Barat,Ketapang,Sandai
PNK10123,Kalimantan Barat,Ketapang,Simpang Dua
PNK10109,Kalimantan Barat,Ketapang,Simpang Hulu
PNK10124,Kalimantan Barat,Ketapang,Singkup
PNK10111,Kalimantan Barat,Ketapang,Sungai Laur
PNK10125,Kalimantan Barat,Ketapang,Sungai Melayu Rayak
PNK10112,Kalimantan Barat,Ketapang,Tumbang Titi
PNK21208,Kalimantan Barat,Kubu Raya,Batu Ampar
PNK21201,Kalimantan Barat,Kubu Raya,Kuala Mandor B
PNK20902,Kalimantan Barat,Kubu Raya,Kubu
PNK21205,Kalimantan Barat,Kubu Raya,Teluk Pakedai
PNK21205,Kalimantan Barat,Kubu Raya,Teluk Pakedai
PNK21206,Kalimantan Barat,Kubu Raya,Terentang
PNK20701,Kalimantan Barat,Landak,Air Besar
PNK20712,Kalimantan Barat,Landak,Banyuke Hulu
PNK20711,Kalimantan Barat,Landak,Jelimpo
PNK20707,Kalimantan Barat,Landak,Kuala Behe
PNK20702,Kalimantan Barat,Landak,Mandor
PNK20703,Kalimantan Barat,Landak,Mempawah Hulu
PNK20704,Kalimantan Barat,Landak,Menjalin
PNK20705,Kalimantan Barat,Landak,Menyuke
PNK20708,Kalimantan Barat,Landak,Meranti
PNK20700,Kalimantan Barat,Landak,Ngabang
PNK20709,Kalimantan Barat,Landak,Sebangki
PNK20706,Kalimantan Barat,Landak,Sengah Temila
PNK20710,Kalimantan Barat,Landak,Sompak
PNK10401,Kalimantan Barat,Sintang,Ambalau
PNK20802,Kalimantan Barat,Melawi,Belimbing
PNK20812,Kalimantan Barat,Melawi,Belimbing Hulu
PNK20803,Kalimantan Barat,Melawi,Ella Hilir
PNK20804,Kalimantan Barat,Melawi,Menukung
PNK20811,Kalimantan Barat,Melawi,Pinoh Selatan
PNK20810,Kalimantan Barat,Melawi,Pinoh Utara
PNK20805,Kalimantan Barat,Melawi,Sayan
PNK20807,Kalimantan Barat,Melawi,Sokan
PNK20808,Kalimantan Barat,Melawi,Tanah Pinoh
PNK20809,Kalimantan Barat,Melawi,Tanah Pinoh Barat
PNK20821,Kalimantan Barat,Mempawah,Anjongan
PNK20819,Kalimantan Barat,Mempawah,Sadaniang
PNK20817,Kalimantan Barat,Mempawah,Segedong
PNK20822,Kalimantan Barat,Mempawah,Jongkat
PNK20822,Kalimantan Barat,Mempawah,Jongkat
PNK20905,Kalimantan Barat,Mempawah,Sungai Kunyit
PNK20911,Kalimantan Barat,Mempawah,Toho
PNK21008,Kalimantan Barat,Sambas,Galing
PNK21001,Kalimantan Barat,Sambas,Jawai
PNK21009,Kalimantan Barat,Sambas,Jawai Selatan
PNK21002,Kalimantan Barat,Sambas,Paloh
PNK21011,Kalimantan Barat,Sambas,Sajad
PNK21019,Kalimantan Barat,Sambas,Sajingan Besar
PNK21019,Kalimantan Barat,Sambas,Sajingan Besar
PNK21000,Kalimantan Barat,Sambas,Sambas
PNK21012,Kalimantan Barat,Sambas,Sebawi
PNK21004,Kalimantan Barat,Sambas,Sejangkung
PNK21014,Kalimantan Barat,Sambas,Subah
PNK21021,Kalimantan Barat,Sambas,Tangaran
PNK21021,Kalimantan Barat,Sambas,Tangaran
PNK21016,Kalimantan Barat,Sambas,Tekarang
PNK21007,Kalimantan Barat,Sambas,Teluk Keramat
PNK10201,Kalimantan Barat,Sanggau,Balai
PNK10202,Kalimantan Barat,Sanggau,Beduai
PNK10205,Kalimantan Barat,Sanggau,Bonti
PNK10223,Kalimantan Barat,Sanggau,Entikong
PNK10206,Kalimantan Barat,Sanggau,Jangkang
PNK10208,Kalimantan Barat,Sanggau,Meliau
PNK10209,Kalimantan Barat,Sanggau,Mukok
PNK10212,Kalimantan Barat,Sanggau,Noyan
PNK10213,Kalimantan Barat,Sanggau,Parindu
PNK10214,Kalimantan Barat,Sanggau,Sekayam
PNK10218,Kalimantan Barat,Sanggau,Tayan Hilir
PNK10217,Kalimantan Barat,Sanggau,Tayan Hulu
PNK10219,Kalimantan Barat,Sanggau,Toba
PNK21107,Kalimantan Barat,Sekadau,Belitang
PNK21101,Kalimantan Barat,Sekadau,Belitang Hilir
PNK21102,Kalimantan Barat,Sekadau,Belitang Hulu
PNK21104,Kalimantan Barat,Sekadau,Nanga Mahap
PNK21103,Kalimantan Barat,Sekadau,Nanga Taman
PNK21106,Kalimantan Barat,Sekadau,Sekadau Hulu
PNK10401,Kalimantan Barat,Sintang,Ambalau
PNK10419,Kalimantan Barat,Sintang,Binjai Hulu
PNK10403,Kalimantan Barat,Sintang,Dedai
PNK10406,Kalimantan Barat,Sintang,Kayan Hilir
PNK10405,Kalimantan Barat,Sintang,Kayan Hulu
PNK10420,Kalimantan Barat,Sintang,Kelam Permai
PNK10407,Kalimantan Barat,Sintang,Ketungau Hilir
PNK10409,Kalimantan Barat,Sintang,Ketungau Hulu
PNK10408,Kalimantan Barat,Sintang,Ketungau Tengah
PNK20806,Kalimantan Barat,Sintang,Serawai
PNK10400,Kalimantan Barat,Sintang,Sintang
PNK10421,Kalimantan Barat,Sintang,Sungai Tebelian
PNK10417,Kalimantan Barat,Sintang,Tempunak
BDJ21201,Kalimantan Selatan,Balangan,Awayan
BDJ21202,Kalimantan Selatan,Balangan,Batu Mandi
BDJ21203,Kalimantan Selatan,Balangan,Halong
BDJ21204,Kalimantan Selatan,Balangan,Juai
BDJ21205,Kalimantan Selatan,Balangan,Lampihong
BDJ21200,Kalimantan Selatan,Balangan,Paringin
BDJ21207,Kalimantan Selatan,Balangan,Paringin Selatan
BDJ21208,Kalimantan Selatan,Balangan,Tebing Tinggi
BDJ20301,Kalimantan Selatan,Kab. Banjar,Aluh Aluh
BDJ20310,Kalimantan Selatan,Kab. Banjar,Aranio
BDJ20302,Kalimantan Selatan,Kab. Banjar,Astambul
BDJ20321,Kalimantan Selatan,Kab. Banjar,Beruntung Baru
BDJ20322,Kalimantan Selatan,Kab. Banjar,Cintapuri Darussalam
BDJ20304,Kalimantan Selatan,Kab. Banjar,Karang Intan
BDJ20320,Kalimantan Selatan,Kab. Banjar,Martapura Barat
BDJ20311,Kalimantan Selatan,Kab. Banjar,Mataraman
BDJ20319,Kalimantan Selatan,Kab. Banjar,Paramasan
BDJ20306,Kalimantan Selatan,Kab. Banjar,Pengaron
BDJ20318,Kalimantan Selatan,Kab. Banjar,Sambung Makmur
BDJ20307,Kalimantan Selatan,Kab. Banjar,Simpang Empat
BDJ20309,Kalimantan Selatan,Kab. Banjar,Sungai Pinang
BDJ20317,Kalimantan Selatan,Kab. Banjar,Tatah Makmur
BDJ20316,Kalimantan Selatan,Kab. Banjar,Telaga Bauntung
BDJ20203,Kalimantan Selatan,Barito Kuala,Anjir Muara
BDJ20202,Kalimantan Selatan,Barito Kuala,Anjir Pasar
BDJ20214,Kalimantan Selatan,Barito Kuala,Bakumpai
BDJ20204,Kalimantan Selatan,Barito Kuala,Barambai
BDJ20205,Kalimantan Selatan,Barito Kuala,Belawang
BDJ20206,Kalimantan Selatan,Barito Kuala,Cerbon
BDJ20218,Kalimantan Selatan,Barito Kuala,Jejangkit
BDJ20207,Kalimantan Selatan,Barito Kuala,Kuripan
BDJ20208,Kalimantan Selatan,Barito Kuala,Mandastana
BDJ20200,Kalimantan Selatan,Barito Kuala,Marabahan
BDJ20209,Kalimantan Selatan,Barito Kuala,Mekarsari
BDJ20210,Kalimantan Selatan,Barito Kuala,Rantau Badauh
BDJ20212,Kalimantan Selatan,Barito Kuala,Tabukan
BDJ20211,Kalimantan Selatan,Barito Kuala,Tabunganen
BDJ20213,Kalimantan Selatan,Barito Kuala,Tamban
BDJ20215,Kalimantan Selatan,Barito Kuala,Wanaraya
BDJ10210,Kalimantan Selatan,Hulu Sungai Selatan,Daha Barat
BDJ10202,Kalimantan Selatan,Hulu Sungai Selatan,Daha Selatan
BDJ10203,Kalimantan Selatan,Hulu Sungai Selatan,Daha Utara
BDJ10204,Kalimantan Selatan,Hulu Sungai Selatan,Kalumpang
BDJ10205,Kalimantan Selatan,Hulu Sungai Selatan,Loksado
BDJ10100,Kalimantan Selatan,Hulu Sungai Tengah,Barabai
BDJ10101,Kalimantan Selatan,Hulu Sungai Tengah,Batang Alai Selatan
BDJ10111,Kalimantan Selatan,Hulu Sungai Tengah,Batang Alai Timur
BDJ10103,Kalimantan Selatan,Hulu Sungai Tengah,Batang Alai Utara
BDJ10102,Kalimantan Selatan,Hulu Sungai Tengah,Batu Benawa
BDJ10109,Kalimantan Selatan,Hulu Sungai Tengah,Hantakan
BDJ10104,Kalimantan Selatan,Hulu Sungai Tengah,Haruyan
BDJ10105,Kalimantan Selatan,Hulu Sungai Tengah,Labuan Amas Selatan
BDJ10106,Kalimantan Selatan,Hulu Sungai Tengah,Labuan Amas Utara
BDJ10110,Kalimantan Selatan,Hulu Sungai Tengah,Limpasu
BDJ10107,Kalimantan Selatan,Hulu Sungai Tengah,Pandawan
BDJ20104,Kalimantan Selatan,Hulu Sungai Utara,Babirik
BDJ20106,Kalimantan Selatan,Hulu Sungai Utara,Danau Panggang
BDJ20115,Kalimantan Selatan,Hulu Sungai Utara,Paminggir
BDJ20114,Kalimantan Selatan,Hulu Sungai Utara,Sungai Tabukan
BDJ10302,Kalimantan Selatan,Kotabaru,Hampang
BDJ10326,Kalimantan Selatan,Kotabaru,Kelumpang Barat
BDJ10321,Kalimantan Selatan,Kotabaru,Kelumpang Hilir
BDJ10305,Kalimantan Selatan,Kotabaru,Kelumpang Hulu
BDJ10306,Kalimantan Selatan,Kotabaru,Kelumpang Selatan
BDJ10304,Kalimantan Selatan,Kotabaru,Kelumpang Tengah
BDJ10303,Kalimantan Selatan,Kotabaru,Kelumpang Utara
BDJ10322,Kalimantan Selatan,Kotabaru,Pamukan Barat
BDJ10310,Kalimantan Selatan,Kotabaru,Pamukan Selatan
BDJ10309,Kalimantan Selatan,Kotabaru,Pamukan Utara
BDJ10312,Kalimantan Selatan,Kotabaru,Pulau Laut Barat
BDJ10325,Kalimantan Selatan,Kotabaru,Pulau Laut Kepulauan
BDJ10311,Kalimantan Selatan,Kotabaru,Pulau Laut Selatan
BDJ10324,Kalimantan Selatan,Kotabaru,Pulau Laut Tanjung Selayar
BDJ10323,Kalimantan Selatan,Kotabaru,Pulau Laut Tengah
BDJ10313,Kalimantan Selatan,Kotabaru,Pulau Laut Timur
BDJ10315,Kalimantan Selatan,Kotabaru,Pulau Sebuku
BDJ10314,Kalimantan Selatan,Kotabaru,Pulau Sembilan
BDJ10316,Kalimantan Selatan,Kotabaru,Sampanahan
BDJ10318,Kalimantan Selatan,Kotabaru,Sungai Durian
BDJ10401,Kalimantan Selatan,Tabalong,Banua Lawas
BDJ10412,Kalimantan Selatan,Tabalong,Bintang Ara
BDJ10402,Kalimantan Selatan,Tabalong,Haruai
BDJ10403,Kalimantan Selatan,Tabalong,Jaro
BDJ10404,Kalimantan Selatan,Tabalong,Kelua
BDJ10405,Kalimantan Selatan,Tabalong,Muara Harus
BDJ10406,Kalimantan Selatan,Tabalong,Muara Uya
BDJ10408,Kalimantan Selatan,Tabalong,Pugaan
BDJ10410,Kalimantan Selatan,Tabalong,Upau
BDJ21315,Kalimantan Selatan,Tanah Bumbu,Angsana
BDJ21311,Kalimantan Selatan,Tanah Bumbu,Karang Bintang
BDJ21316,Kalimantan Selatan,Tanah Bumbu,Kuranji
BDJ21314,Kalimantan Selatan,Tanah Bumbu,Mantewe
BDJ21304,Kalimantan Selatan,Tanah Bumbu,Sungai Loban
BDJ20401,Kalimantan Selatan,Tanah Laut,Bati Bati
BDJ20410,Kalimantan Selatan,Tanah Laut,Bumi Makmur
BDJ20404,Kalimantan Selatan,Tanah Laut,Kurau
BDJ20405,Kalimantan Selatan,Tanah Laut,Panyipatan
BDJ20406,Kalimantan Selatan,Tanah Laut,Takisung
BDJ20408,Kalimantan Selatan,Tanah Laut,Tambang Ulang
BDJ20501,Kalimantan Selatan,Tapin,Bakarangan
BDJ20502,Kalimantan Selatan,Tapin,Binuang
BDJ20503,Kalimantan Selatan,Tapin,Bungur
BDJ20505,Kalimantan Selatan,Tapin,Candi Laras Selatan
BDJ20504,Kalimantan Selatan,Tapin,Candi Laras Utara
BDJ20506,Kalimantan Selatan,Tapin,Hatungun
BDJ20507,Kalimantan Selatan,Tapin,Lokpaikat
BDJ20508,Kalimantan Selatan,Tapin,Piani
BDJ20512,Kalimantan Selatan,Tapin,Tapin Utara
BDJ20509,Kalimantan Selatan,Tapin,Salam Babaris
BDJ20511,Kalimantan Selatan,Tapin,Tapin Selatan
BDJ20510,Kalimantan Selatan,Tapin,Tapin Tengah
BDJ20512,Kalimantan Selatan,Tapin,Tapin Utara
PKY20410,Kalimantan Tengah,Gunung Mas,Damang Batu
PKY20401,Kalimantan Tengah,Gunung Mas,Kahayan Hulu Utara
PKY20408,Kalimantan Tengah,Gunung Mas,Manuhing
PKY20415,Kalimantan Tengah,Gunung Mas,Manuhing Raya
PKY20411,Kalimantan Tengah,Gunung Mas,Mihing Raya
PKY20412,Kalimantan Tengah,Gunung Mas,Miri Manasa
PKY20404,Kalimantan Tengah,Gunung Mas,Rungan
PKY20413,Kalimantan Tengah,Gunung Mas,Rungan Barat
PKY20414,Kalimantan Tengah,Gunung Mas,Rungan Hulu
PKY20405,Kalimantan Tengah,Gunung Mas,Sepang
PKY20322,Kalimantan Tengah,Kapuas,Dadahup
PKY20316,Kalimantan Tengah,Kapuas,Kapuas Hulu
PKY20307,Kalimantan Tengah,Kapuas,Kapuas Murung
PKY20321,Kalimantan Tengah,Kapuas,Mandau Talawang
PKY20311,Kalimantan Tengah,Kapuas,Mantangai
PKY20314,Kalimantan Tengah,Kapuas,Timpah
PKY20203,Kalimantan Tengah,Katingan,Katingan Kuala
PKY20204,Kalimantan Tengah,Katingan,Katingan Tengah
PKY20205,Kalimantan Tengah,Katingan,Marikit
PKY20214,Kalimantan Tengah,Katingan,Petak Malai
PKY20207,Kalimantan Tengah,Katingan,Sanaman Mantikei
BDJ20910,Kalimantan Tengah,Murung Raya,Barito Tuhup Raya
BDJ20901,Kalimantan Tengah,Murung Raya,Laung Tuhup
BDJ20909,Kalimantan Tengah,Murung Raya,Seribu Riam
BDJ20903,Kalimantan Tengah,Murung Raya,Sumber Barito
BDJ20908,Kalimantan Tengah,Murung Raya,Sungai Babuat
PKY21201,Kalimantan Tengah,Pulang Pisau,Banama Tingang
PKY21208,Kalimantan Tengah,Pulang Pisau,Jabiren
PKY21200,Kalimantan Tengah,Pulang Pisau,Pulang Pisau
PKY21204,Kalimantan Tengah,Pulang Pisau,Kahayan Kuala
PKY21203,Kalimantan Tengah,Pulang Pisau,Kahayan Tengah
PKY21206,Kalimantan Tengah,Pulang Pisau,Maliku
PKY21205,Kalimantan Tengah,Pulang Pisau,Pandih Batu
PKY21200,Kalimantan Tengah,Pulang Pisau,Pulang Pisau
PKY21207,Kalimantan Tengah,Pulang Pisau,Sebangau Kuala
PKY20506,Kalimantan Tengah,Seruyan,Suling Tambun
PKY21304,Kalimantan Tengah,Sukamara,Permata Kecubung
BPN20204,Kalimantan Timur,Berau,Pulau Derawan
BPN20202,Kalimantan Timur,Berau,Gunung Tabur
BPN20203,Kalimantan Timur,Berau,Kelay
BPN20210,Kalimantan Timur,Berau,Maratua
BPN20204,Kalimantan Timur,Berau,Pulau Derawan
BPN20205,Kalimantan Timur,Berau,Sambaliung
BPN20206,Kalimantan Timur,Berau,Segah
BPN20215,Kalimantan Timur,Berau,Tabalar
BPN20200,Kalimantan Timur,Berau,Tanjung Redeb
BPN20211,Kalimantan Timur,Berau,Teluk Bayur
BPN20215,Kalimantan Timur,Berau,Tabalar
SRI20202,Kalimantan Timur,Kutai Barat,Bentian Besar
SRI20203,Kalimantan Timur,Kutai Barat,Bongan
SRI20204,Kalimantan Timur,Kutai Barat,Damai
SRI20205,Kalimantan Timur,Kutai Barat,Jempang
SRI20207,Kalimantan Timur,Kutai Barat,Long Iram
SRI20220,Kalimantan Timur,Kutai Barat,Mook Manaar Bulatn
SRI20212,Kalimantan Timur,Kutai Barat,Muara Lawa
